id,hour_of_day,mean_hourly_steps
cXQqwEwIHUTYC3x6ESln,12,284.48
cXQqwEwIHUTYC3x6ESln,13,434.0
cXQqwEwIHUTYC3x6ESln,14,267.57
cXQqwEwIHUTYC3x6ESln,15,280.29
cXQqwEwIHUTYC3x6ESln,16,376.55
cXQqwEwIHUTYC3x6ESln,17,262.05
cXQqwEwIHUTYC3x6ESln,18,425.95
cXQqwEwIHUTYC3x6ESln,19,327.06
cXQqwEwIHUTYC3x6ESln,20,184.02
cXQqwEwIHUTYC3x6ESln,21,180.71
cXQqwEwIHUTYC3x6ESln,22,168.97
cXQqwEwIHUTYC3x6ESln,23,84.28
eSFsS3zCT4ut8tyXi6k4,0,46.25
eSFsS3zCT4ut8tyXi6k4,1,21.45
eSFsS3zCT4ut8tyXi6k4,2,8.71
eSFsS3zCT4ut8tyXi6k4,3,15.17
eSFsS3zCT4ut8tyXi6k4,4,23.49
eSFsS3zCT4ut8tyXi6k4,5,24.68
eSFsS3zCT4ut8tyXi6k4,6,22.09
eSFsS3zCT4ut8tyXi6k4,7,125.45
eSFsS3zCT4ut8tyXi6k4,8,250.09
eSFsS3zCT4ut8tyXi6k4,9,246.25
eSFsS3zCT4ut8tyXi6k4,10,302.06
eSFsS3zCT4ut8tyXi6k4,11,441.6
eSFsS3zCT4ut8tyXi6k4,12,463.18
eSFsS3zCT4ut8tyXi6k4,13,374.77
eSFsS3zCT4ut8tyXi6k4,14,513.15
eSFsS3zCT4ut8tyXi6k4,15,388.15
eSFsS3zCT4ut8tyXi6k4,16,327.12
eSFsS3zCT4ut8tyXi6k4,17,364.37
eSFsS3zCT4ut8tyXi6k4,18,325.26
eSFsS3zCT4ut8tyXi6k4,19,190.55
eSFsS3zCT4ut8tyXi6k4,20,162.38
eSFsS3zCT4ut8tyXi6k4,21,166.34
eSFsS3zCT4ut8tyXi6k4,22,165.8
eSFsS3zCT4ut8tyXi6k4,23,135.31
eu8A02K19NdVI9hISNwg,0,417.49
eu8A02K19NdVI9hISNwg,1,249.46
eu8A02K19NdVI9hISNwg,2,59.89
